test_id,test_name,backend,fmt,quant,kv_cache,prompt_type,run_num,ttft_ms,decode_tps,prefill_tps,completion_tokens,prompt_tokens,total_time_s,model_load_s,thinking_tokens,visible_tokens,cold_ttft_ms,peak_mem_mb,peak_cpu_pct,backend_version,tool_call_valid,quality_pass
MLXLM_gemma4-26b-4bit,Gemma4-26B-A4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,1,290.9,63.8,109432.8,512,31834,8.3,0,0,512,38945.1,2371.4,0,0.31.2,,
MLXLM_gemma4-26b-4bit,Gemma4-26B-A4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,2,244.0,64.6,130467.2,512,31834,8.1,0,0,512,38945.1,2372.5,0,0.31.2,,
MLXLM_gemma4-26b-4bit,Gemma4-26B-A4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,3,251.1,65.0,126778.2,512,31834,8.1,0,0,512,38945.1,2373.5,0,0.31.2,,
MLXLM_gemma4-26b-4bit,Gemma4-26B-A4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-64k,1,391.2,48.0,163182.5,512,63837,11.0,0,0,512,94535.7,2359.4,0,0.31.2,,
MLXLM_gemma4-26b-4bit,Gemma4-26B-A4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-64k,2,334.5,48.4,190843.0,512,63837,10.9,0,0,512,94535.7,2365.4,0,0.31.2,,
MLXLM_gemma4-26b-4bit,Gemma4-26B-A4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-64k,3,325.3,49.1,196240.4,512,63837,10.7,0,0,512,94535.7,2366.4,0,0.31.2,,
MLXLM_gemma4-26b-4bit,Gemma4-26B-A4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-128k,1,569.6,33.3,224441.7,512,127842,15.9,0,0,512,269493.5,2004.3,0,0.31.2,,
MLXLM_gemma4-26b-4bit,Gemma4-26B-A4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-128k,2,494.5,33.5,258527.8,512,127842,15.8,0,0,512,269493.5,2051.5,0,0.31.2,,
MLXLM_gemma4-26b-4bit,Gemma4-26B-A4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-128k,3,500.3,34.1,255530.7,512,127842,15.5,0,0,512,269493.5,2180.4,0,0.31.2,,
MLXLM_gemma4-e4b-4bit,Gemma4-E4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,1,234.7,60.1,135637.0,512,31834,8.7,0,0,512,19985.2,4574.2,0,0.31.2,,
MLXLM_gemma4-e4b-4bit,Gemma4-E4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,2,209.4,59.9,152024.8,512,31834,8.7,0,0,512,19985.2,4576.2,0,0.31.2,,
MLXLM_gemma4-e4b-4bit,Gemma4-E4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,3,213.4,60.0,149175.3,512,31834,8.7,0,0,512,19985.2,4580.3,0,0.31.2,,
MLXLM_gemma4-e4b-4bit,Gemma4-E4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-64k,1,332.4,44.7,192048.7,512,63837,11.8,0,0,512,46500.2,4602.7,0,0.31.2,,
MLXLM_gemma4-e4b-4bit,Gemma4-E4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-64k,2,275.7,44.5,231545.2,512,63837,11.8,0,0,512,46500.2,4604.6,0,0.31.2,,
MLXLM_gemma4-e4b-4bit,Gemma4-E4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-64k,3,284.0,44.8,224778.2,512,63837,11.7,0,0,512,46500.2,4607.1,0,0.31.2,,
MLXLM_gemma4-e4b-4bit,Gemma4-E4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-128k,1,480.9,29.7,265839.1,512,127842,17.7,0,0,512,122407.9,4650.6,0,0.31.2,,
MLXLM_gemma4-e4b-4bit,Gemma4-E4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-128k,2,424.9,29.8,300875.5,512,127842,17.6,0,0,512,122407.9,4664.2,0,0.31.2,,
MLXLM_gemma4-e4b-4bit,Gemma4-E4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-128k,3,420.6,29.8,303951.5,512,127842,17.6,0,0,512,122407.9,4675.0,0,0.31.2,,
MLXLM_gemma4-e2b-4bit,Gemma4-E2B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,1,210.4,110.2,151302.3,512,31834,4.8,0,0,512,7204.0,3005.4,0,0.31.2,,
MLXLM_gemma4-e2b-4bit,Gemma4-E2B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,2,200.5,110.5,158773.1,512,31834,4.8,0,0,512,7204.0,3011.5,0,0.31.2,,
MLXLM_gemma4-e2b-4bit,Gemma4-E2B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,3,186.9,110.4,170326.4,512,31834,4.8,0,0,512,7204.0,3013.5,0,0.31.2,,
