test_id,test_name,backend,fmt,quant,kv_cache,prompt_type,run_num,ttft_ms,decode_tps,prefill_tps,completion_tokens,prompt_tokens,total_time_s,model_load_s,thinking_tokens,visible_tokens,cold_ttft_ms,peak_mem_mb,peak_cpu_pct,tool_call_valid,quality_pass
MLXLM_gemma4-26b-4bit,Gemma4-26B-A4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,1,290.9,63.8,109432.8,512,31834,8.3,0,0,512,38945.1,2371.4,0,,
MLXLM_gemma4-26b-4bit,Gemma4-26B-A4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,2,244.0,64.6,130467.2,512,31834,8.1,0,0,512,38945.1,2372.5,0,,
MLXLM_gemma4-26b-4bit,Gemma4-26B-A4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,3,251.1,65.0,126778.2,512,31834,8.1,0,0,512,38945.1,2373.5,0,,
MLXLM_gemma4-26b-4bit,Gemma4-26B-A4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-64k,1,391.2,48.0,163182.5,512,63837,11.0,0,0,512,94535.7,2359.4,0,,
MLXLM_gemma4-26b-4bit,Gemma4-26B-A4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-64k,2,334.5,48.4,190843.0,512,63837,10.9,0,0,512,94535.7,2365.4,0,,
MLXLM_gemma4-26b-4bit,Gemma4-26B-A4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-64k,3,325.3,49.1,196240.4,512,63837,10.7,0,0,512,94535.7,2366.4,0,,
MLXLM_gemma4-26b-4bit,Gemma4-26B-A4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-128k,1,569.6,33.3,224441.7,512,127842,15.9,0,0,512,269493.5,2004.3,0,,
MLXLM_gemma4-26b-4bit,Gemma4-26B-A4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-128k,2,494.5,33.5,258527.8,512,127842,15.8,0,0,512,269493.5,2051.5,0,,
MLXLM_gemma4-26b-4bit,Gemma4-26B-A4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-128k,3,500.3,34.1,255530.7,512,127842,15.5,0,0,512,269493.5,2180.4,0,,
MLXLM_gemma4-e4b-4bit,Gemma4-E4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,1,234.7,60.1,135637.0,512,31834,8.7,0,0,512,19985.2,4574.2,0,,
MLXLM_gemma4-e4b-4bit,Gemma4-E4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,2,209.4,59.9,152024.8,512,31834,8.7,0,0,512,19985.2,4576.2,0,,
MLXLM_gemma4-e4b-4bit,Gemma4-E4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,3,213.4,60.0,149175.3,512,31834,8.7,0,0,512,19985.2,4580.3,0,,
MLXLM_gemma4-e4b-4bit,Gemma4-E4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-64k,1,332.4,44.7,192048.7,512,63837,11.8,0,0,512,46500.2,4602.7,0,,
MLXLM_gemma4-e4b-4bit,Gemma4-E4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-64k,2,275.7,44.5,231545.2,512,63837,11.8,0,0,512,46500.2,4604.6,0,,
MLXLM_gemma4-e4b-4bit,Gemma4-E4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-64k,3,284.0,44.8,224778.2,512,63837,11.7,0,0,512,46500.2,4607.1,0,,
MLXLM_gemma4-e4b-4bit,Gemma4-E4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-128k,1,480.9,29.7,265839.1,512,127842,17.7,0,0,512,122407.9,4650.6,0,,
MLXLM_gemma4-e4b-4bit,Gemma4-E4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-128k,2,424.9,29.8,300875.5,512,127842,17.6,0,0,512,122407.9,4664.2,0,,
MLXLM_gemma4-e4b-4bit,Gemma4-E4B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-128k,3,420.6,29.8,303951.5,512,127842,17.6,0,0,512,122407.9,4675.0,0,,
MLXLM_gemma4-e2b-4bit,Gemma4-E2B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,1,210.4,110.2,151302.3,512,31834,4.8,0,0,512,7204.0,3005.4,0,,
MLXLM_gemma4-e2b-4bit,Gemma4-E2B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,2,200.5,110.5,158773.1,512,31834,4.8,0,0,512,7204.0,3011.5,0,,
MLXLM_gemma4-e2b-4bit,Gemma4-E2B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,3,186.9,110.4,170326.4,512,31834,4.8,0,0,512,7204.0,3013.5,0,,
MLXLM_gemma4-e2b-4bit,Gemma4-E2B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-64k,1,266.3,88.8,239718.4,512,63837,6.0,0,0,512,18136.8,3033.2,0,,
MLXLM_gemma4-e2b-4bit,Gemma4-E2B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-64k,2,241.0,88.8,264883.8,512,63837,6.0,0,0,512,18136.8,3034.9,0,,
MLXLM_gemma4-e2b-4bit,Gemma4-E2B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-64k,3,239.8,88.6,266209.3,512,63837,6.0,0,0,512,18136.8,3039.4,0,,
MLXLM_gemma4-e2b-4bit,Gemma4-E2B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-128k,1,380.2,63.6,336249.3,512,127842,8.4,0,0,512,55666.9,3097.1,0,,
MLXLM_gemma4-e2b-4bit,Gemma4-E2B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-128k,2,338.6,63.4,377560.5,512,127842,8.4,0,0,512,55666.9,3100.7,0,,
MLXLM_gemma4-e2b-4bit,Gemma4-E2B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-128k,3,350.0,63.7,365262.9,512,127842,8.4,0,0,512,55666.9,3106.5,0,,
MLXLM_qwen3-coder-next-4bit,Qwen3-Coder-Next 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,1,493.6,50.3,64493.5,434,31834,9.1,0,0,434,80366.3,1463.9,0,,
MLXLM_qwen3-coder-next-4bit,Qwen3-Coder-Next 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,2,216.3,49.4,147175.2,434,31834,9.0,0,0,434,80366.3,1416.6,0,,
MLXLM_qwen3-coder-next-4bit,Qwen3-Coder-Next 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,3,240.2,49.3,132531.2,434,31834,9.0,0,0,434,80366.3,1417.0,0,,
OMLX_qwen3-coder_default,Qwen3-Coder-Next 4bit oMLX default,omlx-0.3.4,MLX,4bit,default,context-32k,1,35082.7,49.9,907.4,506,31834,45.2,0,0,506,77527.2,6.0,0,,
OMLX_qwen3-coder_default,Qwen3-Coder-Next 4bit oMLX default,omlx-0.3.4,MLX,4bit,default,context-32k,2,35063.0,49.7,907.9,506,31834,45.2,0,0,506,77527.2,6.0,0,,
OMLX_qwen3-coder_default,Qwen3-Coder-Next 4bit oMLX default,omlx-0.3.4,MLX,4bit,default,context-32k,3,35371.5,50.0,900.0,506,31834,45.5,0,0,506,77527.2,6.0,0,,
OMLX_qwen3-coder_tq4bit,Qwen3-Coder-Next 4bit oMLX tq4bit,omlx-0.3.4,MLX,4bit,tq4bit,context-32k,1,36133.1,49.9,881.0,506,31834,46.3,0,0,506,35179.0,6.0,0,,
OMLX_qwen3-coder_tq4bit,Qwen3-Coder-Next 4bit oMLX tq4bit,omlx-0.3.4,MLX,4bit,tq4bit,context-32k,2,36342.5,50.2,875.9,506,31834,46.4,0,0,506,35179.0,6.0,0,,
OMLX_qwen3-coder_tq4bit,Qwen3-Coder-Next 4bit oMLX tq4bit,omlx-0.3.4,MLX,4bit,tq4bit,context-32k,3,36005.7,50.1,884.1,506,31834,46.1,0,0,506,35179.0,6.0,0,,
MLXLM_qwen35-a3b-4bit,Qwen3.5-35B-A3B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,1,229.8,70.5,138529.2,503,31834,7.3,0,0,503,31819.9,4751.5,0,,
MLXLM_qwen35-a3b-4bit,Qwen3.5-35B-A3B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,2,211.4,71.2,150586.6,503,31834,7.3,0,0,503,31819.9,4752.4,0,,
MLXLM_qwen35-a3b-4bit,Qwen3.5-35B-A3B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-32k,3,210.5,71.1,151230.4,503,31834,7.3,0,0,503,31819.9,4756.3,0,,
MLXLM_qwen35-a3b-4bit,Qwen3.5-35B-A3B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-64k,1,369.4,47.6,172812.7,499,63837,10.8,0,0,499,87420.8,4792.5,0,,
MLXLM_qwen35-a3b-4bit,Qwen3.5-35B-A3B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-64k,2,310.8,49.5,205395.8,499,63837,10.4,0,0,499,87420.8,4794.8,0,,
MLXLM_qwen35-a3b-4bit,Qwen3.5-35B-A3B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-64k,3,283.2,48.5,225413.1,499,63837,10.5,0,0,499,87420.8,4794.8,0,,
MLXLM_qwen35-a3b-4bit,Qwen3.5-35B-A3B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-128k,1,637.3,38.1,200599.4,501,127842,13.8,0,0,501,299076.3,4379.7,0,,
MLXLM_qwen35-a3b-4bit,Qwen3.5-35B-A3B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-128k,2,469.5,38.6,272293.9,501,127842,13.4,0,0,501,299076.3,4380.8,0,,
MLXLM_qwen35-a3b-4bit,Qwen3.5-35B-A3B 4bit mlx-lm,mlx-lm-0.31.2,MLX,4bit,default,context-128k,3,453.7,40.7,281776.5,501,127842,12.7,0,0,501,299076.3,4390.8,0,,
OMLX_gemma4-26b_default,Gemma4-26B-A4B 4bit oMLX default,omlx-0.3.4,MLX,4bit,default,context-32k,1,36013.7,49.3,883.9,512,31834,46.4,0,0,512,42366.2,6.0,0,,
OMLX_gemma4-26b_default,Gemma4-26B-A4B 4bit oMLX default,omlx-0.3.4,MLX,4bit,default,context-32k,2,36376.2,48.3,875.1,512,31834,46.9,0,0,512,42366.2,6.0,0,,
OMLX_gemma4-26b_default,Gemma4-26B-A4B 4bit oMLX default,omlx-0.3.4,MLX,4bit,default,context-32k,3,36012.1,50.0,884.0,512,31834,46.2,0,0,512,42366.2,6.0,0,,
OMLX_gemma4-26b_default,Gemma4-26B-A4B 4bit oMLX default,omlx-0.3.4,MLX,4bit,default,context-64k,1,90736.6,40.6,703.5,512,63837,103.3,0,0,512,91540.5,6.0,0,,
OMLX_gemma4-26b_default,Gemma4-26B-A4B 4bit oMLX default,omlx-0.3.4,MLX,4bit,default,context-64k,2,89695.4,40.4,711.7,512,63837,102.4,0,0,512,91540.5,6.0,0,,
OMLX_gemma4-26b_default,Gemma4-26B-A4B 4bit oMLX default,omlx-0.3.4,MLX,4bit,default,context-64k,3,91307.9,40.0,699.1,512,63837,104.1,0,0,512,91540.5,6.0,0,,
OMLX_gemma4-e4b_default,Gemma4-E4B 4bit oMLX default,omlx-0.3.4,MLX,4bit,default,context-32k,1,20122.5,45.0,1582.0,512,31834,31.5,0,0,512,23591.1,6.0,0,,
OMLX_gemma4-e4b_default,Gemma4-E4B 4bit oMLX default,omlx-0.3.4,MLX,4bit,default,context-32k,2,20182.3,45.9,1577.3,512,31834,31.3,0,0,512,23591.1,6.0,0,,
