test_id,test_name,backend,fmt,quant,kv_cache,prompt_type,run_num,ttft_ms,decode_tps,prefill_tps,completion_tokens,prompt_tokens,total_time_s,model_load_s,thinking_tokens,visible_tokens,cold_ttft_ms,peak_mem_mb,peak_cpu_pct,tool_call_valid,quality_pass
H_CR_1,Coder llama.cpp Q4 kv-q8 cache-reuse,llama-server,GGUF,Q4_K_M,kv-q8+reuse,short,1,229.5,37.8,100.2,242,23,6.61,50.5,0,133,297.2,8838.5,0.0,,
H_CR_1,Coder llama.cpp Q4 kv-q8 cache-reuse,llama-server,GGUF,Q4_K_M,kv-q8+reuse,short,2,170.7,37.3,134.7,242,23,6.63,50.5,0,133,297.2,8838.5,0.0,,
H_CR_1,Coder llama.cpp Q4 kv-q8 cache-reuse,llama-server,GGUF,Q4_K_M,kv-q8+reuse,short,3,271.2,38.0,84.8,242,23,6.61,50.5,0,133,297.2,8838.5,0.0,,
H_CR_1,Coder llama.cpp Q4 kv-q8 cache-reuse,llama-server,GGUF,Q4_K_M,kv-q8+reuse,code,1,1140.9,38.4,658.2,506,751,14.28,50.5,0,249,1543.7,8876.8,0.0,,
H_CR_1,Coder llama.cpp Q4 kv-q8 cache-reuse,llama-server,GGUF,Q4_K_M,kv-q8+reuse,code,2,823.0,37.2,912.5,506,751,14.41,50.5,0,249,1543.7,8878.1,0.0,,
H_CR_1,Coder llama.cpp Q4 kv-q8 cache-reuse,llama-server,GGUF,Q4_K_M,kv-q8+reuse,code,3,1083.2,37.1,693.3,506,751,14.69,50.5,0,249,1543.7,8878.1,0.0,,
H_CTX_1,Coder llama.cpp Q4 cache-reuse ctx,llama-server,GGUF,Q4_K_M,kv-q8+reuse,context-32k,1,3043.9,18.4,10724.6,512,32645,30.76,33.6,0,244,141517.1,8995.4,0.0,,
H_CTX_1,Coder llama.cpp Q4 cache-reuse ctx,llama-server,GGUF,Q4_K_M,kv-q8+reuse,context-32k,2,2989.4,18.9,10920.4,512,32645,29.97,33.6,0,244,141517.1,8995.6,0.0,,
H_CTX_1,Coder llama.cpp Q4 cache-reuse ctx,llama-server,GGUF,Q4_K_M,kv-q8+reuse,context-32k,3,3964.8,19.5,8233.7,512,32645,30.14,33.6,0,244,141517.1,8995.6,0.0,,
H_CTX_1,Coder llama.cpp Q4 cache-reuse ctx,llama-server,GGUF,Q4_K_M,kv-q8+reuse,context-64k,1,4716.2,15.4,13920.9,512,65654,37.95,33.6,0,257,206005.4,9116.5,0.0,,
H_CTX_1,Coder llama.cpp Q4 cache-reuse ctx,llama-server,GGUF,Q4_K_M,kv-q8+reuse,context-64k,2,4442.1,16.8,14779.9,512,65654,34.77,33.6,0,257,206005.4,9116.5,0.0,,
H_CTX_1,Coder llama.cpp Q4 cache-reuse ctx,llama-server,GGUF,Q4_K_M,kv-q8+reuse,context-64k,3,3552.6,17.6,18480.5,512,65654,32.62,33.6,0,257,206005.4,9119.8,0.0,,
