test_id,test_name,backend,fmt,quant,kv_cache,prompt_type,run_num,ttft_ms,decode_tps,prefill_tps,completion_tokens,prompt_tokens,total_time_s,model_load_s,thinking_tokens,visible_tokens,cold_ttft_ms,peak_mem_mb,peak_cpu_pct,backend_version,tool_call_valid,quality_pass
M_CTX_1,Gemma4-E4B mlx-vlm ctx,mlx-vlm,MLX,4bit,default,context-32k,1,19790.8,29.3,1649.5,257,32645,28.52,5.2,0,262,20007.7,5756.5,0.0,0.4.3,,
M_CTX_1,Gemma4-E4B mlx-vlm ctx,mlx-vlm,MLX,4bit,default,context-32k,2,19600.4,29.8,1665.5,257,32645,28.19,5.2,0,262,20007.7,5764.5,0.0,0.4.3,,
M_CTX_1,Gemma4-E4B mlx-vlm ctx,mlx-vlm,MLX,4bit,default,context-32k,3,19627.3,29.7,1663.2,257,32645,28.25,5.2,0,262,20007.7,5764.5,0.0,0.4.3,,
M_CTX_1,Gemma4-E4B mlx-vlm ctx,mlx-vlm,MLX,4bit,default,context-64k,1,46023.8,20.9,1426.5,241,65654,57.53,5.2,0,247,46985.7,5778.4,0.0,0.4.3,,
M_CTX_1,Gemma4-E4B mlx-vlm ctx,mlx-vlm,MLX,4bit,default,context-64k,2,46276.2,20.8,1418.7,241,65654,57.83,5.2,0,247,46985.7,5778.4,0.0,0.4.3,,
M_CTX_1,Gemma4-E4B mlx-vlm ctx,mlx-vlm,MLX,4bit,default,context-64k,3,47255.6,20.7,1389.3,241,65654,58.84,5.2,0,247,46985.7,5782.5,0.0,0.4.3,,
M_CTX_1,Gemma4-E4B mlx-vlm ctx,mlx-vlm,MLX,4bit,default,context-128k,1,126774.7,14.2,1034.7,255,131176,144.68,5.2,0,260,120410.6,5830.2,0.0,0.4.3,,
M_CTX_1,Gemma4-E4B mlx-vlm ctx,mlx-vlm,MLX,4bit,default,context-128k,2,122429.7,14.2,1071.4,255,131176,140.37,5.2,0,260,120410.6,5838.2,0.0,0.4.3,,
M_CTX_1,Gemma4-E4B mlx-vlm ctx,mlx-vlm,MLX,4bit,default,context-128k,3,122812.4,14.8,1068.1,255,131176,139.97,5.2,0,260,120410.6,5842.0,0.0,0.4.3,,
N_CTX_1,Gemma4-E2B mlx-vlm ctx,mlx-vlm,MLX,4bit,default,context-32k,1,6881.8,52.7,4743.7,256,32645,11.72,5.2,0,255,7125.2,4196.6,0.0,0.4.3,,
N_CTX_1,Gemma4-E2B mlx-vlm ctx,mlx-vlm,MLX,4bit,default,context-32k,2,6907.8,52.7,4725.8,256,32645,11.74,5.2,0,255,7125.2,4203.2,0.0,0.4.3,,
N_CTX_1,Gemma4-E2B mlx-vlm ctx,mlx-vlm,MLX,4bit,default,context-32k,3,6908.2,53.0,4725.6,256,32645,11.72,5.2,0,255,7125.2,4203.2,0.0,0.4.3,,
N_CTX_1,Gemma4-E2B mlx-vlm ctx,mlx-vlm,MLX,4bit,default,context-64k,1,18320.3,48.1,3583.7,288,65654,24.28,5.2,0,288,18252.7,4213.1,0.0,0.4.3,,
N_CTX_1,Gemma4-E2B mlx-vlm ctx,mlx-vlm,MLX,4bit,default,context-64k,2,18355.5,48.3,3576.8,288,65654,24.3,5.2,0,288,18252.7,4213.1,0.0,0.4.3,,
N_CTX_1,Gemma4-E2B mlx-vlm ctx,mlx-vlm,MLX,4bit,default,context-64k,3,18334.7,48.3,3580.9,288,65654,24.27,5.2,0,288,18252.7,4219.0,0.0,0.4.3,,
N_CTX_1,Gemma4-E2B mlx-vlm ctx,mlx-vlm,MLX,4bit,default,context-128k,1,57461.8,31.1,2282.8,260,131176,65.79,5.2,0,262,58006.1,4264.3,0.0,0.4.3,,
N_CTX_1,Gemma4-E2B mlx-vlm ctx,mlx-vlm,MLX,4bit,default,context-128k,2,57922.8,31.2,2264.7,260,131176,66.22,5.2,0,262,58006.1,4264.4,0.0,0.4.3,,
N_CTX_1,Gemma4-E2B mlx-vlm ctx,mlx-vlm,MLX,4bit,default,context-128k,3,58524.7,31.3,2241.4,260,131176,66.79,5.2,0,262,58006.1,4267.5,0.0,0.4.3,,
