test_id,test_name,model,backend,fmt,quant,kv_cache,prompt_type,run_num,ttft_ms,decode_tps,prefill_tps,completion_tokens,prompt_tokens,total_time_s,model_load_s,thinking_tokens,visible_tokens,cold_ttft_ms,peak_mem_mb,peak_cpu_pct,backend_version,tool_call_valid,quality_pass
W_QAT_Q4_1,Gemma4-12B llama.cpp QAT-Q4_0,Gemma4-12B,llama-server,GGUF,QAT-Q4_0,default,short,1,164.6,41.4,139.8,512,23,12.5,3.1,0,274,176.4,12544.6,0.0,b9430,,
W_QAT_Q4_1,Gemma4-12B llama.cpp QAT-Q4_0,Gemma4-12B,llama-server,GGUF,QAT-Q4_0,default,short,2,152.3,41.6,151.0,512,23,12.44,3.1,0,274,176.4,12544.6,0.0,b9430,,
W_QAT_Q4_1,Gemma4-12B llama.cpp QAT-Q4_0,Gemma4-12B,llama-server,GGUF,QAT-Q4_0,default,short,3,151.3,41.5,152.1,512,23,12.47,3.1,0,274,176.4,12544.7,0.0,b9430,,
W_QAT_Q4_1,Gemma4-12B llama.cpp QAT-Q4_0,Gemma4-12B,llama-server,GGUF,QAT-Q4_0,default,long,1,408.6,40.9,335.3,511,137,12.87,3.1,0,297,399.1,12756.9,0.0,b9430,,
W_QAT_Q4_1,Gemma4-12B llama.cpp QAT-Q4_0,Gemma4-12B,llama-server,GGUF,QAT-Q4_0,default,long,2,369.9,40.9,370.4,511,137,12.83,3.1,0,297,399.1,12756.9,0.0,b9430,,
W_QAT_Q4_1,Gemma4-12B llama.cpp QAT-Q4_0,Gemma4-12B,llama-server,GGUF,QAT-Q4_0,default,long,3,348.7,41.0,392.8,511,137,12.79,3.1,0,297,399.1,12756.9,0.0,b9430,,
W_QAT_Q4_1,Gemma4-12B llama.cpp QAT-Q4_0,Gemma4-12B,llama-server,GGUF,QAT-Q4_0,default,code,1,95.6,40.0,7856.6,512,751,12.87,3.1,0,203,2003.5,13165.6,0.0,b9430,,
W_QAT_Q4_1,Gemma4-12B llama.cpp QAT-Q4_0,Gemma4-12B,llama-server,GGUF,QAT-Q4_0,default,code,2,109.5,40.0,6860.7,512,751,12.89,3.1,0,203,2003.5,13165.7,0.0,b9430,,
W_QAT_Q4_1,Gemma4-12B llama.cpp QAT-Q4_0,Gemma4-12B,llama-server,GGUF,QAT-Q4_0,default,code,3,98.4,39.7,7633.8,512,751,12.96,3.1,0,203,2003.5,13165.7,0.0,b9430,,
W_QAT_Q4_2,Gemma4-12B Ollama QAT-Q4_0,Gemma4-12B,ollama,GGUF,QAT-Q4_0,default,short,1,419.6,38.5,211.9,512,33,13.73,3.3,0,273,438.6,12105.6,0.0,0.30.5,,
