test_id,test_name,backend,fmt,quant,kv_cache,prompt_type,run_num,ttft_ms,decode_tps,prefill_tps,completion_tokens,prompt_tokens,total_time_s,model_load_s,thinking_tokens,visible_tokens,cold_ttft_ms,peak_mem_mb,peak_cpu_pct,tool_call_valid,quality_pass
TQ_gemma4-26b-4bit_default,Gemma4-26B-A4B 4bit default,mlx-vlm-0.4.4,MLX,4bit,default,context-32k,1,40127.6,27.8,793.3,242,31834,48.8,0,0,242,267106.8,1924.9,0,,
TQ_gemma4-26b-4bit_default,Gemma4-26B-A4B 4bit default,mlx-vlm-0.4.4,MLX,4bit,default,context-32k,2,39097.9,24.7,814.2,242,31834,48.9,0,0,242,267106.8,1925.0,0,,
TQ_gemma4-26b-4bit_default,Gemma4-26B-A4B 4bit default,mlx-vlm-0.4.4,MLX,4bit,default,context-32k,3,44001.6,25.3,723.5,242,31834,53.5,0,0,242,267106.8,1925.0,0,,
TQ_gemma4-26b-4bit_default,Gemma4-26B-A4B 4bit default,mlx-vlm-0.4.4,MLX,4bit,default,context-64k,1,104328.0,20.7,611.9,254,63837,116.5,0,0,254,105450.4,1949.1,0,,
TQ_gemma4-26b-4bit_default,Gemma4-26B-A4B 4bit default,mlx-vlm-0.4.4,MLX,4bit,default,context-64k,2,100776.8,23.1,633.4,254,63837,111.7,0,0,254,105450.4,1950.8,0,,
TQ_gemma4-26b-4bit_default,Gemma4-26B-A4B 4bit default,mlx-vlm-0.4.4,MLX,4bit,default,context-64k,3,94741.5,23.4,673.8,254,63837,105.6,0,0,254,105450.4,1950.9,0,,
TQ_gemma4-26b-4bit_default,Gemma4-26B-A4B 4bit default,mlx-vlm-0.4.4,MLX,4bit,default,context-128k,1,255240.6,16.4,500.9,253,127842,270.6,0,0,253,265652.5,1262.9,0,,
TQ_gemma4-26b-4bit_default,Gemma4-26B-A4B 4bit default,mlx-vlm-0.4.4,MLX,4bit,default,context-128k,2,253145.4,16.3,505.0,253,127842,268.6,0,0,253,265652.5,1282.6,0,,
TQ_gemma4-26b-4bit_default,Gemma4-26B-A4B 4bit default,mlx-vlm-0.4.4,MLX,4bit,default,context-128k,3,254560.3,16.4,502.2,253,127842,269.9,0,0,253,265652.5,1282.5,0,,
TQ_gemma4-26b-4bit_tq3.5bit,Gemma4-26B-A4B 4bit tq3.5bit,mlx-vlm-0.4.4,MLX,4bit,tq3.5bit,context-32k,1,36754.7,30.7,866.1,258,31834,45.1,0,0,258,44004.9,11156.5,0,,
TQ_gemma4-26b-4bit_tq3.5bit,Gemma4-26B-A4B 4bit tq3.5bit,mlx-vlm-0.4.4,MLX,4bit,tq3.5bit,context-32k,2,36732.3,30.7,866.6,258,31834,45.1,0,0,258,44004.9,11156.5,0,,
TQ_gemma4-26b-4bit_tq3.5bit,Gemma4-26B-A4B 4bit tq3.5bit,mlx-vlm-0.4.4,MLX,4bit,tq3.5bit,context-32k,3,36883.2,30.8,863.1,258,31834,45.2,0,0,258,44004.9,11156.5,0,,
TQ_gemma4-26b-4bit_tq3.5bit,Gemma4-26B-A4B 4bit tq3.5bit,mlx-vlm-0.4.4,MLX,4bit,tq3.5bit,context-64k,1,92335.7,27.2,691.4,281,63837,102.6,0,0,281,92521.9,11175.6,0,,
TQ_gemma4-26b-4bit_tq3.5bit,Gemma4-26B-A4B 4bit tq3.5bit,mlx-vlm-0.4.4,MLX,4bit,tq3.5bit,context-64k,2,92697.4,27.2,688.7,281,63837,103.0,0,0,281,92521.9,11175.9,0,,
TQ_gemma4-26b-4bit_tq3.5bit,Gemma4-26B-A4B 4bit tq3.5bit,mlx-vlm-0.4.4,MLX,4bit,tq3.5bit,context-64k,3,92309.0,27.2,691.6,281,63837,102.6,0,0,281,92521.9,11179.6,0,,
TQ_gemma4-26b-4bit_tq3.5bit,Gemma4-26B-A4B 4bit tq3.5bit,mlx-vlm-0.4.4,MLX,4bit,tq3.5bit,context-128k,1,264515.2,19.2,483.3,273,127842,278.7,0,0,273,264308.8,11045.4,0,,
TQ_gemma4-26b-4bit_tq3.5bit,Gemma4-26B-A4B 4bit tq3.5bit,mlx-vlm-0.4.4,MLX,4bit,tq3.5bit,context-128k,2,268386.1,19.1,476.3,273,127842,282.6,0,0,273,264308.8,10578.9,0,,
TQ_gemma4-26b-4bit_tq3.5bit,Gemma4-26B-A4B 4bit tq3.5bit,mlx-vlm-0.4.4,MLX,4bit,tq3.5bit,context-128k,3,271497.4,19.2,470.9,273,127842,285.7,0,0,273,264308.8,10378.8,0,,
TQ_gemma4-26b-mxfp4_default,Gemma4-26B-A4B mxfp4 default,mlx-vlm-0.4.4,MLX,mxfp4,default,context-32k,1,39231.2,30.5,811.4,246,31834,47.3,0,0,246,37459.8,14645.1,0,,
TQ_gemma4-26b-mxfp4_default,Gemma4-26B-A4B mxfp4 default,mlx-vlm-0.4.4,MLX,mxfp4,default,context-32k,2,36855.7,30.6,863.7,246,31834,44.9,0,0,246,37459.8,14649.5,0,,
TQ_gemma4-26b-mxfp4_default,Gemma4-26B-A4B mxfp4 default,mlx-vlm-0.4.4,MLX,mxfp4,default,context-32k,3,36200.9,30.9,879.4,246,31834,44.1,0,0,246,37459.8,14649.4,0,,
TQ_gemma4-26b-mxfp4_default,Gemma4-26B-A4B mxfp4 default,mlx-vlm-0.4.4,MLX,mxfp4,default,context-64k,1,90769.7,23.1,703.3,238,63837,101.0,0,0,238,90653.6,14660.9,0,,
TQ_gemma4-26b-mxfp4_default,Gemma4-26B-A4B mxfp4 default,mlx-vlm-0.4.4,MLX,mxfp4,default,context-64k,2,90629.2,23.2,704.4,238,63837,100.9,0,0,238,90653.6,14660.9,0,,
TQ_gemma4-26b-mxfp4_default,Gemma4-26B-A4B mxfp4 default,mlx-vlm-0.4.4,MLX,mxfp4,default,context-64k,3,90616.8,22.8,704.5,238,63837,101.0,0,0,238,90653.6,14664.9,0,,
TQ_gemma4-26b-mxfp4_tq3.5bit,Gemma4-26B-A4B mxfp4 tq3.5bit,mlx-vlm-0.4.4,MLX,mxfp4,tq3.5bit,context-32k,1,37389.2,31.5,851.4,244,31834,45.1,0,0,244,37684.1,14650.3,0,,
TQ_gemma4-26b-mxfp4_tq3.5bit,Gemma4-26B-A4B mxfp4 tq3.5bit,mlx-vlm-0.4.4,MLX,mxfp4,tq3.5bit,context-32k,2,37417.5,31.5,850.8,244,31834,45.1,0,0,244,37684.1,14650.3,0,,
TQ_gemma4-26b-mxfp4_tq3.5bit,Gemma4-26B-A4B mxfp4 tq3.5bit,mlx-vlm-0.4.4,MLX,mxfp4,tq3.5bit,context-32k,3,37421.8,31.6,850.7,244,31834,45.1,0,0,244,37684.1,14650.3,0,,
TQ_gemma4-26b-mxfp4_tq3.5bit,Gemma4-26B-A4B mxfp4 tq3.5bit,mlx-vlm-0.4.4,MLX,mxfp4,tq3.5bit,context-64k,1,94101.7,26.5,678.4,262,63837,104.0,0,0,262,94101.8,14663.2,0,,
